Feature,Coefficient,Train set stdev,Odds ratio
Heart Rate kurtosis Oxygen Saturation variability,0.0,15.541095843519566,1.0
Heart Rate kurtosis Oxygen Saturation slope,0.0,0.0036810546034797336,1.0
Heart Rate skewness Oxygen Saturation min,0.0,57.49170312822127,1.0
Heart Rate skewness Systolic Blood Pressure mean,0.0,41.81821061591702,1.0
Heart Rate skewness Oxygen Saturation variability,0.0,4.318992215604721,1.0
Heart Rate skewness Pulse Pressure mean,0.0,14.031964338046828,1.0
Heart Rate skewness Oxygen Saturation slope,0.0,0.0014988419086525101,1.0
Heart Rate variability Pulse Pressure variability,0.0,2631.7121318844,1.0
Heart Rate skewness Breathing Rate kurtosis,0.0,24.50344204239516,1.0
Heart Rate skewness Breathing Rate variability,0.0,57.36622427736705,1.0
Heart Rate skewness Systolic Blood Pressure max,0.0,66.5422477186315,1.0
Heart Rate skewness Systolic Blood Pressure kurtosis,0.0,18.228804041844274,1.0
Heart Rate skewness Diastolic Bood Pressure slope,0.0,0.004202287257121812,1.0
Heart Rate skewness Oxygen Saturation mean,0.0,69.33823445543729,1.0
Heart Rate skewness Heart Rate kurtosis,-0.0036440777901688586,3.6493148529706794,0.9990019334811476
Oxygen Saturation min,-0.010154931907600752,11.846949378975204,0.9991431903235662
Breathing Rate min Systolic Blood Pressure mean,-0.0206223366524426,449.4794037489032,0.9999541205594601
Breathing Rate variability Breathing Rate min,-0.025847975871335194,1007.5457623982824,0.9999743459351608
Heart Rate variability Breathing Rate variability,-0.027315690248120167,18915.61095550614,0.9999985559192041
Breathing Rate min Systolic Blood Pressure max,-0.02856117706080419,815.3291772515861,0.9999649703731804
Oxygen Saturation variability Breathing Rate variability,-0.055852042719312725,524.2193040087191,0.9998934623981451
Oxygen Saturation variability Oxygen Saturation min,-0.060469006782684194,251.3233262860331,0.999759426497476
Breathing Rate skewness,-0.08192974162861077,1.894939795461321,0.9576852866648922
Diastolic Bood Pressure slope Pulse Pressure variability,-0.08346140872740382,0.1398254598039905,0.5505171992015974
Oxygen Saturation min Breathing Rate min,-0.09333437258228412,631.9761117821332,0.9998523243536175
Heart Rate skewness,-0.10669194847417653,0.7091431301651822,0.860319089532457
Systolic Blood Pressure max Systolic Blood Pressure kurtosis,-0.11935942989071846,3570.9350652623543,0.9999665752994883
First window timestamp Oxygen Saturation variability,-0.1613463297176808,18299.893112574147,0.9999911832480415
First window timestamp Breathing Rate min,-0.2403013177980093,45239.842349486025,0.9999946882953805
Pulse Pressure mean,-0.5178055435755444,4.26686217335064,0.8857193727829129
Intercept,-2.019428636106173,-,-
